# Table S4. Marker genes for lineage annotations.											
# This table lists the marker genes that were used to annotate sc-RNA-seq cells with their corresponding lineage identity.											
# Expression patterns for marker genes were retrieved from Wormbase (26) (https://wormbase.org) and EPiC (17) (http://epic.gs.washington.edu/Epic2/).											
# Our lineage annotations include both pre-terminal cells and terminal cells with estimated embryo time < 510 minutes.											
# "Terminal cells with estimated embryo time >= 510 minutes were excluded from this annotation set, but are included in the cell type annotations described in Tables S1, S2, and S7."											
# "A subset of the UMAPs that guided the lineage annotations are shown in Figs S14-17, and Figs. S4-S11."											
# "The full set of UMAPs can be explored in the VisCello application. The ""UMAP group"" column in this table specifies whether the UMAP is found in the ""Cell type"" or ""Early lineage"" section of the application."											
# POE in the marker gene lists = Process of Elimination.											
Lineage	Lineage group	UMAP	UMAP group	Markers	Cells produced	IsTerminal	Redundant	Notes			
ABpxppappa	AB256	Time 300min neuron + glia right region	Early lineage	"ces-1, unc-30"	RIG/DD(1 or 2)	0	0				
ABpxppappp	AB256	Time 300min neuron + glia right region	Early lineage	"pal-1, cnd-1, unc-30"	DD(3 or 4)/DD(5 or 6)	0	0				
ABpxpppaaa	AB256	Time 300min neuron + glia right region	Early lineage	"irx-1, nob-1, ceh-6, ref-2"	(DA9 or Y)/DA(6 or 7)	0	0				
ABpxpppaap	AB256	Time 300min neuron + glia left region	Early lineage	"hlh-3, pal-1, ztf-11"	"PVC/LUA, PHA"	0	0				
ABpxpppapa	AB256	Time 300min neuron + glia right region	Early lineage	"pal-1, irx-1, egl-1, nhr-25, lin-26"	PHsh/hyp(8 or 9)	0	0				
ABpxpppapp	AB256	NA	NA	NA	x	1	0	Not identified (cell death).			
ABpxppppaa	AB256	"Time 300min neuron + glia right region, Rectal cells"	"Early lineage, Cell type"	"egl-20(weak), nob-1"	PVP/rect V	0	0				
ABpxppppap	AB256	"Time 300min neuron + glia right region, Rectal cells"	"Early lineage, Cell type"	"pal-1, ceh-6, a little egl-38"	U/F or B/DVA	0	0				
ABpxpppppa	AB256	Time 300min neuron + glia right region	Early lineage	"unc-120, hnd-1, hlh-8, cog-1"	mu int L/anal depressor or bwm/sphincter	0	0				
ABpxpppppp	AB256	Time 300min neuron + glia right region	Early lineage	"nhr-67, vab-23, pal-1, nhr-25, lin-26, lin-44"	spike/hyp10	0	0				
ABalaaaalal/ABalaapaaar	AB_gen_9	Non-ciliated neurons	Cell type	"ttx-3, mgl-1, K07C5.9, ast-1"	AIN	1	0	Same annotation as in Table S1.			
ABalaaapalr/ABalaaapprl	AB_gen_9	Non-ciliated neurons	Cell type	"unc-42, unc-3, unc-17, rig-5, glr-1, glr-2, nmr-2"	AVD	1	0	Same annotation as in Table S1.			
ABalaappapa/ABalppaaapa	AB_gen_9	Non-ciliated neurons	Cell type	"acc-1, fax-1, unc-42, unc-3, flp-18, acr-16, acr-15, rig-3, gpa-14, glr-1, glr-2, nmr-2, unc-3"	AVA	1	0	Same annotation as in Table S1.			
ABalaapppaa/ABalapaapaa	AB_gen_9	Non-ciliated neurons	Cell type	"glr-3, glr-6"	RIA	1	0	Same annotation as in Table S1.			
ABalapaaaaa/ABalappapaa	AB_gen_9	Non-ciliated neurons	Cell type	"unc-42, lin-11, hlh-34, ceh-6, flp-12, pdf-1"	AVH	1	0	Same annotation as in Table S1.			
ABalapaaapa/ABalappappa	AB_gen_9	Non-ciliated neurons	Cell type	"pks-1, ceh-10, ace-3, acy-2"	CAN	1	0	Same annotation as in Table S1.			
ABalappaapa	AB_gen_9	Non-ciliated neurons	Cell type	"unc-3, ceh-10, lim-4, pdf-1"	RID	1	0	Same annotation as in Table S1.			
ABalapppaaa	AB_gen_9	Non-ciliated neurons	Cell type	"flp-24, ceh-17, des-2, deg-3, snf-11, flp-13"	ALA	1	0	Same annotation as in Table S1.			
ABalaaaarxp/ABalapppaap/ABplpappaaa	AB_gen_9	Non-ciliated neurons	Cell type	"ceh-32, unc-25, unc-46, snf-11, sox-2, ser-2"	RME	1	0	Same annotation as in Table S1.			
ABalapxpapa/ABpxpaaappa	AB_gen_9	Ciliated neurons	Cell type	See note.	OLQ/x	0	0	Forms a continuous UMAP trajectory with terminal OLQ. Distinguished from daughter by embryo.time.			
ABalapxppaa/ABalaappppa/ABalapaappa/ABalppapppa/ABarapppppa	AB_gen_9	Ciliated neurons	Cell type	See note.	IL1/x	0	0	Forms a continuous UMAP trajectory with terminal IL1. Distinguished from daughter by embryo time. Distinguished from IL2 by lack of unc-86.			
ABalapxppap/ABalaappppp/ABalapaappp/ABalppapppp/ABarapppppp	AB_gen_9	Ciliated neurons	Cell type	"tba-6, klp-6, cil-7, agr-1, sox-2"	IL2	1	0	Same annotation as in Table S1.			
ABalapxpppa	AB_gen_9	Non-ciliated neurons	Cell type	"unc-42, lin-11, glr-1"	AVJ	1	0	Same annotation as in Table S1.			
ABalapxpppp/ABalaapappp/ABalppaappp	AB_gen_9	Glia and excretory cells	Cell type	"mls-2, inx-12, inx-13"	CEPso	1	0	Same annotation as in Table S1.			
ABalpaapaaa/ABalpaappap/ABaraaapaaa/ABaraaappax/ABarapapapa	AB_gen_9	Pharynx	Cell type	"inx-12, let-23"	Posterior arcades	1	0	Same annotation as in Table S1.			
ABalpaapapa/ABaraaapapa/ABalpappppa	AB_gen_9	Pharynx	Cell type	"ttx-1, pax-1, agr-1, ceh-45, ceh-2"	mc1	1	0	Same annotation as in Table S1.			
ABalpaapppx/ABalpapaaap/ABaraaapppp	AB_gen_9	Pharynx	Cell type	"mlt-11, mlt-8, slt-1, nhr-25, nhr-67"	hyp1D and hyp2	1	0	"We have tentatively identified hyp1V in a separate cell cluster, suggesting that this annotation only includes hyp1D and hyp2. See note for lineage ""ABalpapaapa/ABarappaapa"". This distinction is not high-confidence however, so this annotation may in fact include hyp1V as well."			
ABalpapaapa/ABarappaapa	AB_gen_9	Glia and excretory cells	Cell type	See note.	hyp1V and arc ant V	1	0	"This cluster forms a continuous UMAP trajectory with the parent lineage of hyp1V / arc ant V, ABalpapaap/ABarappaap. This annotation is not high-confidence however, as hyp1D and arc ant D were separately identified in the ""Pharynx"" UMAP."			
ABalpapapaa/ABalppapaaa/ABalpppapad/ABarappapaa/ABarapppaaa/ABpraaaapad	AB_gen_9	Non-ciliated neurons	Cell type	"lad-2, acc-1, unc-42, glr-1, glr-4, glr-5,
ceh-6, mgl-1, unc-7, ast-1"	RMD	1	0	Same annotation as in Table S1.			
ABalppappap/ABarappppap	AB_gen_9	Ciliated neurons	Cell type	"gcy-9, gcy-31, gcy-33"	BAG	1	0	Same annotation as in Table S1.			
ABalpppaaaa/ABpraaaaaaa	AB_gen_9	Non-ciliated neurons	Cell type	"fax-1, unc-42, unc-3, glr-1, glr-2, glr-5"	AVE	1	0	Same annotation as in Table S1.			
ABalpppapav/ABpraaaapav	AB_gen_9	Ciliated neurons	Cell type	"gcy-8, gcy-18, gcy-23, dac-1, ttx-1"	AFD	1	0	Same annotation as in Table S1.			
ABalpppappp/ABpraaaappp	AB_gen_9	Ciliated neurons	Cell type	ttx-3	ASK/x	0	0	Forms a continuous UMAP trajectory with terminal ASK. Distinguished from daughter by embryo time.			
ABalppppaad/ABpraaapaad	AB_gen_9	Ciliated neurons	Cell type	"K04D7.6, xbx-9, F15A4.5"	ADL	1	0	Same annotation as in Table S1.			
ABalppppapa/ABpraaapapa	AB_gen_9	Ciliated neurons	Cell type	"sox-2, tbx-2"	OLL/x	0	0	"Forms a continuous UMAP trajectory with terminal OLL (in 3D version of ""Ciliated neurons"" UMAP; trajectory is gapped in 2D version). Distinguished from daughter by embryo time."			
ABalpppppaa/ABpraaappaa	AB_gen_9	Ciliated neurons	Cell type	"ceh-19, cat-4, bas-1"	ADF	1	0	Same annotation as in Table S1.			
ABalpppppap/ABpraaappap	AB_gen_9	Ciliated neurons	Cell type	"srd-23, odr-1, daf-11, sox-2"	AWB	1	0	Same annotation as in Table S1.			
ABalppppppa/ABpraaapppa	AB_gen_9	Ciliated neurons	Cell type	"che-1, ceh-36"	ASE/x	0	0	Forms a continuous UMAP trajectory with terminal ASE. Distinguished from daughter by embryo time.			
ABalppppppp/ABpraaapppp	AB_gen_9	Ciliated neurons	Cell type	"sptf-1, trx-1"	ASJ/AUA	0	0	Forms a continuous UMAP trajectory with terminal ASJ and AUA. Distinguished from daughters by embryo time and branch point.			
ABaraaapppa/ABalpaappaa	AB_gen_9	Pharynx	Cell type	"inx-12, lack of let-23"	arc ant D	1	0	"We have tentatively identified arc ant V in a separate cell cluster, suggesting that this annotation only includes arc ant D. See note for lineage ""ABalpapaapa/ABarappaapa"". This distinction is not high-confidence however, so this annotation may in fact include arc ant V as well."			
ABaraapxapp/ABarapapppa	AB_gen_9	Pharynx	Cell type	"ttx-1, pax-1, agr-1"	mc2	1	0	Same annotation as in Table S1.			
ABaraapxpaa	AB_gen_9	Pharynx	Cell type	"ttx-3, nhr-239, unc-86"	x/NSM	0	0				
ABarapapapp	AB_gen_9	Non-ciliated neurons	Cell type	"unc-4, ceh-34, tbx-2, flp-4, flp-13, unc-7"	I5	1	0	Same annotation as in Table S1.			
ABarpaaaapp/ABarpaaapap/ABpxpaaapap	AB_gen_9	Glia and excretory cells	Cell type	"aff-1, kcc-3, aqp-7, K09F5.6, mltn-13, K08D12.4"	CEPsh	1	0	Same annotation as in Table S1. 			
ABarpapaapp/ABplaaaaapp	AB_gen_9	Ciliated neurons	Cell type	unc-86	CEP/URX	0	0	Forms a continuous UMAP trajectory with terminal URX and CEP. Distinguished from daughters by embryo time and branch point.			
ABarppxappx	AB_gen_9	Touch receptors	Cell type	"unc-86, mec-7, mec-3, unc-62"	ALM and BDU	1	0	"Forms a continuous UMAP trajectory with its parent, ABarppxapp. Distinguished from its parent by embryo time and the onset of mec-3 expression."			
ABplpaaaapa	AB_gen_9	Duct and pore	Cell type	"irx-1, ceh-37, grl-2, aff-1"	Excretory duct	1	1	"Same annotation as in Table S1. These cells are a redundant subset of the cells in the annotation ""ABpxpaaaapa"". A UMAP of just duct+pore cells identifies two trajectories. One trajectory is aff-1(+), putatively corresponding to the excretory duct, while the other is aff-1(-), putatively corresponding to the G1, which in the embryo serves as the excretory pore."			
ABplpappaap	AB_gen_9	Glia and excretory cells	Cell type	"pros-1, ceh-37, ceh-6, hlh-11"	Excretory cell	1	0	Same annotation as in Table S1.			
ABplpapppax	AB_gen_9	Rectal cells	Cell type	"pha-4, pal-1, egl-38"	K and K'	1	0	Same annotation as in Table S1.			
ABplpappppa	AB_gen_9	"Non-ciliated neurons, Rectal cells"	Cell type	"Early PVT: egl-46, lim-6, and unc-6. Late PVT: gpa-2, mec-1, zig-5, vab-15, dop-5, pdf-1, lim-6, unc-6."	PVT	1	0	"Same annotation as in Table S1. Early PVT cells are annotated in the UMAP ""Rectal only"". Late PVT cells are annotated in the UMAP ""Non-ciliated neurons""."			
ABplpappppp	AB_gen_9	Rectal cells	Cell type	"pha-4, pal-1, dve-1"	rect_D	1	0	"Same annotation as in Table S1. Includes early rect_D cells only. Later rectal gland cells (rect_D and rect_VL/R) are annotated as ""ABplpappppp/ABpxppppaap""."			
ABplpappppp/ABpxppppaap	AB_gen_9	Rectal cells	Cell type	"pha-4, pal-1, dve-1, nac-2, elt-3, tat-4"	rect_D and rect_V	1	1	"Same annotation as in Table S1. Includes late rect_D and rect_VL/R. Early rect_D is annotated as ""ABplpappppp""."			
ABplppppapx	AB_gen_9	Rectal cells	Cell type	"egl-38, egl-20, mom-2"	F and U	1	0	Same annotation as in Table S1.			
ABprpaaaapa	AB_gen_9	Duct and pore	Cell type	"irx-1, ceh-37, grl-2, lack of aff-1"	Excretory pore (G1)	1	1	"Same annotation as in Table S1. These cells are a redundant subset of the cells in the annotation ""ABpxpaaaapa"". A UMAP of just duct+pore cells identifies two trajectories. One trajectory is aff-1(+), putatively corresponding to the excretory duct, while the other is aff-1(-), putatively corresponding to the G1, which in the embryo serves as the excretory pore."			
ABprpappaaa	AB_gen_9	Non-ciliated neurons	Cell type	"unc-86, unc-130, nhr-67, slt-1, rig-4"	RIH	1	0	Same annotation as in Table S1.			
ABprpappaap	AB_gen_9	Non-ciliated neurons	Cell type	"unc-25, unc-46, unc-47, lim-6, ceh-27, alr-1"	AVL	1	0	Same annotation as in Table S1.			
ABprpappapa	AB_gen_9	Non-ciliated neurons	Cell type	"flp-11, unc-25, aptf-1, lim-6"	RIS	1	0	Same annotation as in Table S1.			
ABprpapppap	AB_gen_9	Non-ciliated neurons	Cell type	"lite-1, glr-1, glr-2, nmr-2, lin-11, ast-1, odr-2, F59E11.7, unc-62"	AVG	1	0	Same annotation as in Table S1.			
ABprpppaaaa	AB_gen_9	Rectal cells	Cell type	"ceh-6, ref-2, mom-2, nhr-25, lack of cnd-1"	Y	1	0	Same annotation as in Table S1.			
ABprppppapa	AB_gen_9	Rectal cells	Cell type	"ceh-6, ref-2, mab-9, ceh-27"	B	1	0	Same annotation as in Table S1.			
ABprppppapp	AB_gen_9	"Non-ciliated neurons, Rectal cells"	Cell type	"Early DVA: fax-1, cnd-1, pal-1, lin-11. Late DVA: lin-44, nob-1, fax-1, nlp-12, twk-16, lin-11."	DVA	1	0	"Same annotation as in Table S1. Early DVA cells are annotated in the UMAP ""Rectal only"". Late DVA cells are annotated in the UMAP ""Non-ciliated neurons""."			
ABpxaapaaaa	AB_gen_9	Glia and excretory cells	Cell type	"nhr-25, ceh-32, slt-1, sym-1"	hyp3	1	0	Same annotation as in Table S1.			
ABpxaapaaap/ABalaaapall/ABalaaapprr/ABalppapapp/ABarapppapp	AB_gen_9	Glia and excretory cells	Cell type	"grl-18, wrt-6"	ILso	1	0	Same annotation as in Table S1.			
ABpxaapaapa	AB_gen_9	Non-ciliated neurons	Cell type	"unc-86, sox-2, glr-8"	URB	1	0	"Same annotation as in Table S1. Definitely includes URB, but may also include URA."			
ABpxaapaapp	AB_gen_9	Glia and excretory cells	Cell type	"aff-1, kcc-3, nas-31, pros-1, F52E1.2, F16F9.3"	AMsh	1	0	Same annotation as in Table S1.			
ABpxaapapaa	AB_gen_9	Ciliated neurons	Cell type	"odr-7, nhr-216, ocr-1"	AWA	1	0	Same annotation as in Table S1.			
ABpxaapapap	AB_gen_9	Ciliated neurons	Cell type	"gcy-11, capa-1"	ASG	1	0	Same annotation as in Table S1.			
ABpxaapappa	AB_gen_9	Non-ciliated neurons	Cell type	"snet-1, aptf-1, odr-2, glr-2"	AIB	1	0	Same annotation as in Table S1.			
ABpxaapappp	AB_gen_9	CIliated neurons	Cell type	See note.	ASI/x	0	0	"Forms a continuous UMAP trajectory with terminal ASI (in 3D version of ""Ciliated neurons"" UMAP; trajectory is gapped in 2D version). Distinguished from daughter by embryo time."			
ABpxapaaaap	AB_gen_9	Ciliated neurons	Cell type	"unc-62, ceh-13"	ADE/ADA	0	0	Forms an almost-continuous UMAP trajectory with terminal ADE. Distinguished from daughter by embryo time.			
ABpxapaaapa	AB_gen_9	Touch receptors	Cell type	"unc-86, mec-7, unc-62"	FLP/AIZ	0	0	Forms a continuous UMAP trajectory with terminal FLP. Distinguished from daughter by embryo time.			
ABpxapapppp	AB_gen_9	Touch receptors	Cell type	"unc-86, mec-7, egl-5"	(PLM/ALN)/x	0	0	"Forms a continuous UMAP trajectory with terminal PLM. It is unclear if this annotation also includes its daughter, the PLM/ALN parent. It definitely does not include terminal PLM or ALN though, and is distinguished from its parent by embryo time."			
ABpxapppaaa	AB_gen_9	Non-ciliated neurons	Cell type	"lin-11, vab-15, ceh-43, glr-1, nlp-17, C35B1.7, F26A10.1, Y43F8B.20, acr-23, irx-1"	PVQ	1	0	"Same annotation as in Table S1. Definitely includes PVQ, but may also include PVC."			
ABpxapppapp	AB_gen_9	Ciliated neurons	Cell type	"hlh-14, egl-5, egl-43, ift-81 (cilia gene); lack of pal-1"	HSN/PHB	0	0				
ABpxpaaaaap	AB_gen_9	Ciliated neurons	Cell type	"ceh-36, odr-1, daf-11, sox-2"	AWC	1	0	Same annotation as in Table S1.			
ABpxpaaaapa	AB_gen_9	Glia and excretory cells	Cell type	"irx-1, ceh-37, grl-2"	Excretory duct and G1 pore	1	0	Same annotation as in Table S1.			
ABpxpaapaaa	AB_gen_9	Non-ciliated neurons	Cell type	"odr-2, lim-4, ceh-75, ast-1"	RIV	1	0	Same annotation as in Table S1.			
ABpxpaapaap	AB_gen_9	Non-ciliated neurons	Cell type	"fax-1, unc-42, unc-3, ceh-31, pdf-1"	AVB	1	0	Same annotation as in Table S1.			
ABpxpaapapa	AB_gen_9	Glia and excretory cells	Cell type	"grd-15, grl-12"	AMso	1	0	Same annotation as in Table S1.			
ABpxpaappaa	AB_gen_9	Ciliated neurons	Cell type	"osm-10, R102.2, deg-1, M04B2.6, unc-42"	ASH	1	0	Same annotation as in Table S1.			
ABpxpaappap	AB_gen_9	Non-ciliated neurons	Cell type	"aptf-1, glr-4, ser-4, sto-3, unc-29"	RIB	1	0	Same annotation as in Table S1.			
ABpxpaapppa	AB_gen_9	Non-ciliated neurons	Cell type	"snet-1, flp-22, mbr-1, mls-2, mod-5, unc-86, inx-19"	AIM	1	0	Same annotation as in Table S1.			
ABalppappaa/ABarappppaa/ABpxpapaaaa	AB_gen_9	Non-ciliated neurons	Cell type	"lad-2, acc-1, flp-22, odr-2, unc-42, glr-1, glr-5"	SMD	1	0	Same annotation as in Table S1.			
ABpxpapaaap	AB_gen_9	Non-ciliated neurons	Cell type	"ttx-3, ceh-10, F17C11.2, flp-9, glc-3, bus-18, ser-2, nlp-15"	AIY	1	0	Same annotation as in Table S1.			
ABpxpapaapa/ABpxpapappa	AB_gen_9	Non-ciliated neurons	Cell type	"ceh-17, ceh-24, unc-42, vab-8, ser-6, lim-4"	SIA	1	0	Same annotation as in Table S1.			
ABpxpapapaa	AB_gen_9	Glia and excretory cells	Cell type	"lim-6, ser-2, aat-1"	Excretory gland	1	0	Same annotation as in Table S1.			
ABpxpapapap	AB_gen_9	Non-ciliated neurons	Cell type	"flp-1, fax-1, unc-42, sox-2, glr-5"	AVK	1	0	Same annotation as in Table S1.			
ABpxpapaapp/ABpxppaaaaa	AB_gen_9	Non-ciliated neurons	Cell type	"fax-1, ceh-24, unc-42, vab-8, tmc-1, glr-5"	SIB	1	0	Same annotation as in Table S1.			
ABpxppaaaap	AB_gen_9	Non-ciliated neurons	Cell type	See note.	x/RIC	0	0	Forms a near-continuous UMAP trajectory with terminal RIC. Distinguished from daughter by embryo time.			
ABpxppaapap	AB_gen_9	Non-ciliated neurons	Cell type	"tdc-1, cex-1, glr-1, nmr-2"	RIM	1	0	Same annotation as in Table S1.			
ABpxpppaapa	AB_gen_9	Non-ciliated neurons	Cell type	"pal-1, egl-5, hlh-14, cfi-1, lack of (lin-11, vab-15)"	PVC/LUA	0	0	"cfi-1 expressed in terminal PVC and LUA, but not PHA, PVQ, HSN, or PHB (Wormbase)."			
ABpxppppaaa	AB_gen_9	Non-ciliated neurons	Cell type	"mbr-1, nlp-7, unc-30, lin-11, pdf-1, glb-17"	PVP	1	0	Same annotation as in Table S1.			
ABalapxpapaa/ABpxpaaappaa	AB_gen_10	Ciliated neurons	Cell type	"ocr-4, dyla-1, dhc-3, pcrg-1"	OLQ	1	0	Same annotation as in Table S1.			
ABalapxppaaa/ABalaappppaa/ABalapaappaa/ABalppapppaa/ABarapppppaa	AB_gen_10	Ciliated neurons	Cell type	"flp-3, agr-1, sox-2"	IL1	1	0	Same annotation as in Table S1.			
ABalpapapapp/ABarappapapp/ABalpapappp/ABarappappp	AB_gen_10	Non-ciliated neurons	Cell type	"sox-3, ceh-24, lim-4, vab-8, unc-42"	SMB	1	0	Same annotation as in Table S1.			
ABalpppapppa/ABpraaaapppa	AB_gen_10	Ciliated neurons	Cell type	"F09E8.8, pax-2, C47D2.1"	ASK	1	0	Same annotation as in Table S1.			
ABalppppapaa/ABpraaapapaa	AB_gen_10	Ciliated neurons	Cell type	"sox-2, tbx-2"	OLL	1	0	Same annotation as in Table S1.			
ABalppppppaa/ABpraaapppaa	AB_gen_10	Ciliated neurons	Cell type	"che-1, ceh-36"	ASE	1	0	Same annotation as in Table S1.			
ABalpppppppa/ABpraaappppa	AB_gen_10	Ciliated neurons	Cell type	"ssu-1, trx-1, nhr-6, sptf-1"	ASJ	1	0	Same annotation as in Table S1.			
ABalpppppppp/ABpraaappppp	AB_gen_10	Ciliated neurons	Cell type	"ceh-6, dop-1, flr-4, che-7"	AUA	1	0	"Branches from parent, the ASJ-AUA neuroblast, in the ""Ciliated neurons"" UMAP. Differentiated AUA cells from late embryos are then found in the ""Non-ciliated neurons"" UMAP."			
ABarpapaappa/ABplaaaaappa/ABpxpaappppa	AB_gen_10	Ciliated neurons	Cell type	"dat-1, cat-2, tba-9, nhr-67, nhr-67"	CEP	1	0	Same annotation as in Table S1.			
ABarpapaappp/ABplaaaaappp	AB_gen_10	Ciliated neurons	Cell type	"gcy-32, gcy-35, gcy-36, gcy-37"	URX	1	0	Same annotation as in Table S1.			
ABpxaapapppa	AB_gen_10	Ciliated neurons	Cell type	"ins-6, cng-2"	ASI	1	0	Same annotation as in Table S1.			
ABpxapaaaapa	AB_gen_10	Ciliated neurons	Cell type	"dat-1, cat-2, tba-9, pdf-1, unc-62, cwn-2, ceh-13"	ADE	1	0	Same annotation as in Table S1.			
ABpxapaaapad	AB_gen_10	Touch receptors	Cell type	"unc-86, mec-7, mec-3, unc-62"	FLP	1	0	Same annotation as in Table S1.			
ABpxapaaapav	AB_gen_10	Non-ciliated neurons	Cell type	"ser-2, unc-86, eat-4, acc-2"	AIZ	1	0	Same annotation as in Table S1.			
ABpxapppappp	AB_gen_10	Ciliated neurons	Cell type	"osm-10, R102.2, gpa-6, cog-1, low expression of ceh-14, srb-6, srh-74"	PHB	1	0	"Same annotation as in Table S1. Definitely includes PHB, but may also include PHA."			
ABpxppaaaapp	AB_gen_10	Non-ciliated neurons	Cell type	"tbh-1, tdc-1, glr-5"	RIC	1	0	Same annotation as in Table S1.			
